一级学科代码,一级学科名称,评估结果,学校名称1,学校名称2,学校名称3,学校名称4,学校名称5,学校名称6,学校名称7,学校名称8,学校名称9,学校名称10,学校名称11,学校名称12,学校名称13,学校名称14,学校名称15,学校名称16,学校名称17,学校名称18,学校名称19,学校名称20,学校名称21,学校名称22,学校名称23,学校名称24,学校名称25,学校名称26,学校名称27
302,政治学,C-,延安大学,新疆大学,青岛大学,,,,,,,,,,,,,,,,,,,,,,,,
303,社会学,A+,北京大学,中国人民大学,,,,,,,,,,,,,,,,,,,,,,,,,
303,社会学,A,南京大学,,,,,,,,,,,,,,,,,,,,,,,,,,
303,社会学,A-,清华大学,复旦大学,上海大学,,,,,,,,,,,,,,,,,,,,,,,,
303,社会学,B+,中央民族大学,南开大学,吉林大学,华东理工大学,华东师范大学,华中科技大学,中山大学,,,,,,,,,,,,,,,,,,,,
303,社会学,B,中国农业大学,河海大学,浙江大学,厦门大学,武汉大学,华中师范大学,,,,,,,,,,,,,,,,,,,,,
303,社会学,B-,北京师范大学,中央财经大学,中国政法大学,山东大学,中南大学,云南民族大学,西安交通大学,,,,,,,,,,,,,,,,,,,,
303,社会学,C+,哈尔滨工业大学,浙江师范大学,安徽大学,四川大学,西南财经大学,云南大学,,,,,,,,,,,,,,,,,,,,,
303,社会学,C,苏州大学,南京师范大学,济南大学,西南大学,贵州民族大学,西北农林科技大学,兰州大学,,,,,,,,,,,,,,,,,,,,
303,社会学,C-,沈阳师范大学,哈尔滨工程大学,赣南师范大学,湖南师范大学,云南师范大学,西北民族大学,,,,,,,,,,,,,,,,,,,,,
304,民族学,A+,中央民族大学,云南大学,,,,,,,,,,,,,,,,,,,,,,,,,
304,民族学,A-,中南民族大学,,,,,,,,,,,,,,,,,,,,,,,,,,
304,民族学,B+,中山大学,西南民族大学,兰州大学,,,,,,,,,,,,,,,,,,,,,,,,
304,民族学,B,内蒙古大学,广西民族大学,云南民族大学,,,,,,,,,,,,,,,,,,,,,,,,
304,民族学,B-,厦门大学,陕西师范大学,宁夏大学,,,,,,,,,,,,,,,,,,,,,,,,
304,民族学,C+,四川大学,西北民族大学,新疆师范大学,,,,,,,,,,,,,,,,,,,,,,,,
304,民族学,C,内蒙古师范大学,湖北民族学院,西藏民族大学,,,,,,,,,,,,,,,,,,,,,,,,
304,民族学,C-,吉首大学,贵州民族大学,北方民族大学,,,,,,,,,,,,,,,,,,,,,,,,
305,马克思主义理论,A+,中国人民大学,清华大学,东北师范大学,武汉大学,,,,,,,,,,,,,,,,,,,,,,,
305,马克思主义理论,A,北京大学,吉林大学,复旦大学,南京师范大学,山东大学,华中师范大学,中山大学,,,,,,,,,,,,,,,,,,,,
305,马克思主义理论,A-,北京师范大学,首都师范大学,南开大学,华东师范大学,浙江大学,福建师范大学,江西师范大学,中南大学,华南师范大学,四川大学,西南大学,西安交通大学,,,,,,,,,,,,,,,
305,马克思主义理论,B+,北京交通大学,中央财经大学,天津师范大学,辽宁大学,哈尔滨师范大学,同济大学,上海财经大学,上海大学,南京大学,苏州大学,河海大学,合肥工业大学,山东师范大学,郑州大学,华中科技大学,武汉理工大学,湘潭大学,湖南大学,广西师范大学,西南交通大学,陕西师范大学,兰州大学,南京政治学院,,,,
305,马克思主义理论,B,北京科技大学,中国政法大学,河北师范大学,大连海事大学,,,,,,,,,,,,,,,,,,,,,,,
305,马克思主义理论,B,黑龙江大学,哈尔滨工程大学,上海交通大学,上海师范大学,南京航空航天大学,浙江师范大学,安徽师范大学,厦门大学,河南大学,中国地质大学,湖南科技大学,湖南师范大学,华南理工大学,贵州师范大学,西安理工大学,新疆大学,新疆师范大学,扬州大学,中国石油大学,,,,,,,,
305,马克思主义理论,B-,北京航空航天大学,河北大学,山西大学,内蒙古大学,辽宁师范大学,哈尔滨理工大学,华东理工大学,南京理工大学,中国矿业大学,江南大学,江苏大学,江苏师范大学,温州大学,安徽大学,曲阜师范大学,湖北大学,中南民族大学,广西大学,西南财经大学,云南大学,西安科技大学,西北师范大学,海南师范大学,,,,
